Field_Data,Field_data_iter1
welcome_allYourText,"All your healthcare in one app"
login_welcomeBack_text,Welcome back!
login_page_title,Log in
login_link_with_google_title,Link with Google
login_link_with_linkedIn_title,Link with LinkedIn
login_dontHaveAnAccount_text,Don’t have an account?
login_email_id,"sree@0.com,abcde@999.com,testmail@gmail.com,tester@qa.com,Rohan@1.com,Rohan@2.com,Rohan@3.com"
login_password,"Test@123,Test@321,Test@1234"
login_phoneno,"4824531809,8989898080,0000055555,8080808089,2123456789"
login_email_phoneno_blank_error,Please enter your email or mobile number
login_password_blank_error,Please enter password to login!
login_invalid_phone_password_error,Invalid username or password.
login_nonExists_emailPhoneno_error,Account does not exist. Create a new account
gmail_page_title,Choose an account
linkedin_page_title,Welcome Back
signup_welcome_title,Welcome!
signup_page_title,Create my account
signup_termsOfService_text,terms of service
signup_createAccount_text,Create account
signup_userDetailsPage_title,Welcome! Please add a few details about yourself
signup_first_name,"#2323##$$ ,Test"
signup_last_name,"23##re,Last"
signup_email_id,"Testempgmail.com,test@mail.com,tester907@mail.com"
signup_phone_number,"222555,##()@,8989898080"
signup_password,"abcd,abcdefgh,Test@123"
signup_confirm_password,"Test@122,Test@123"
signup_firstname_blank_msg,First name required
signup_lastname_blank_msg,Last name required
signup_phoneNumber_invalid_msg,Mobile number should be 10 digit number
signup_firstname_invalid_msg,Invalid first name
signup_lastname_invalid_msg,Invalid last name
signup_invalid_emailid_msg,Invalid email
signup_email_blank_msg,Email id required
signup_phoneNumber_blank_msg,Mobile number required
signup_password_blank_msg,Password required
signup_confirmPassword_blank_msg,Confirm password required
signup_password_invalidLength_msg,Should be at least 8 characters
signup_password_invalid_msg,"Must include an upper case and lower case, number and symbol"
signup_password_invalidMatch_msg,Password does not match
signup_emailExists_msg,Email already exists
signup_phoneNumExists_msg,Contact number already exists.
signup_referral_code,"revad908,REVAd908,ROHA47e3"
signup_promo_code,"IFP001,MEDI001,medi001"
signup_referralPromoCode_invalid_msg,Invalid referral/promo code
signup_T&C_Privacy_blank_msg,Please accept terms and conditions and privacy policy!
signup_byCreatingAn_text,By creating an account you are accepting the
signup_haveAnAccount_text,Have an account?
signup_emailId_helpText,abc@gmail.com
signup_password_helpText,Password (8+ characters)
signup_confirmPassword_helpText,Password (8+ characters)
signup_T&C_title,Terms & conditions
signup_PP_title,Privacy policy
otp_1,"1,4"
otp_2,"2,3"
otp_3,"3,2"
otp_4,"4,1"
otp_page_title,Please enter OTP
otp_verificationCodeSent_toastMsg," Verification code sent,Verification code sent"
otp_verificationCodeResent_toastMsg," Verification code resent,Verification code resent"
otp_enterThe4_text,Enter a 4 digit code sent to
otp_didntReceiveIt_text,Request new code in
otp_invalid_msg,"Incorrect OTP, please try again"
edit_wellSendAOTP_text,We’ll send an OTP to confirm your number
home_congratulations_text,Congratulations! You chose to get Mpowered!
awardPoints_youEarned_text,You earned
awardPoints_usedMedi001_text,Used Medi001 as promocode
awardPoints_value,100
awardPoints_someoneUsed_text,Someone used your referral code.
forgotPassword_page_title,Forgot password
forgotPassword_pleaseEnterYour_label,Please enter your registered email or mobile number
forgotPassword_emailOrMobileNum,"1000000002,testmail@mph.com,8734,111122223333,/((&%,9400095626,test.com,testforgot@gmail.com"
forgotPassword_enterEmailOrMobile_text,Enter your email or mobile number
forgotPassword_we'llSendAn_text,We’ll send an OTP to your registered number
forgotPassword_enterThe4Digit_text,Enter a 4 digit code sent to ******002
forgotPassword_didntReceiveIt_text,Didn't receive the code?
forgotPassword_createNewPassword_title,Create new password
forgotPassword_password,"Test@1234,asd,asdfghjk,Test@123"
forgotPassword_error_msg,Invalid email or mobile number
forgotPassword_OTPError_msg,"Incorrect OTP, please try again"
forgotPassword_blankPassword_msg,Password required
forgotPassword_blankConfirmPassword_msg,Confirm password required
forgotPassword_passwordLength_msg,Should be at least 8 characters
forgotPassword_passwordStrength_msg,"Must include an upper case and lower case, number and symbol"
forgotPassword_passwordMatch_msg,Password does not match
referAFriend_yourReferral_text,Your referral code
